X_1,X_2,X_3,X_4,X_5,Y,E
1.3207,8.4,0.23,0.0596,0.0728,0.15,1
1.2907,9.3,0.27,0.0996,0.0928,0.19,1
0.8107,6.88,0.16,0.0496,0.0428,0.11,1
1.2107,6.71,0.17,0.0496,0.0628,0.15,1
0.7407,4.74,0.15,0.0296,0.0328,0.08,1
0.5907,4.35,0.16,0.0396,0.0428,0.05,1
1.2907,7.47,0.21,0.0496,0.0628,0.1,1
1.5307,9.22,0.35,0.0596,0.0728,0.12,1
1.1207,6.47,0.37,0.0296,0.0628,0.1,1
1.1407,7.01,0.32,0.0496,0.0428,0.1,1
0.9107,5.07,0.27,0.0296,0.0328,0.08,1
0.8007,6.31,0.15,0.0496,0.0828,0.09,1
1.1607,7.42,0.45,0.0696,0.0528,0.1,1
