X_1,X_2,X_3,X_4,X_5,Y,E
0.5707,4.2,0.13,0.0496,0.0328,0.06,1
0.7607,5.41,0.28,0.0696,0.0528,0.08,1
0.7307,4.17,0.41,0.0496,0.0428,0.05,1
1.0607,5.84,0.2,0.0396,0.0828,0.08,1
0.6607,4.65,0.32,0.0496,0.0628,0.08,1
1.0307,7.02,0.56,0.0496,0.0728,0.07,1
0.7907,4.83,0.23,0.0396,0.0628,0.06,1
1.0807,7.96,0.55,0.0596,0.0628,0.09,1
1.3707,7.36,0.28,0.0596,0.1528,0.1,1
0.7907,6.63,0.55,0.0496,0.0728,0.06,1
0.8807,6.25,0.32,0.0596,0.0928,0.08,1
0.8507,6.27,0.27,0.0696,0.0628,0.08,1
1.1907,5.84,0.5,0.0396,0.0828,0.11,1
1.1307,7.38,0.29,0.0496,0.1228,0.1,1
0.9507,5.82,0.17,0.0296,0.0628,0.04,1
0.9207,5.05,0.11,0.0396,0.0628,0.04,1
1.0907,6.12,0.26,0.0396,0.0628,0.05,1
0.9407,5.57,0.3,0.0396,0.0528,0.05,1
1.2207,6.87,0.38,0.0596,0.1228,0.13,1
1.1007,5.46,0.14,0.0496,0.1228,0.04,1
0.9007,5.24,0.15,0.0496,0.1128,0.04,1
1.1007,6.1,0.24,0.0396,0.1528,0.05,1
1.0807,6.45,0.23,0.0796,0.1728,0.05,1
1.1107,6.17,0.42,0.0396,0.1828,0.05,1
1.2907,7.96,0.33,0.0596,0.2128,0.07,1
1.0907,6.54,0.24,0.0596,0.0428,0.13,1
0.6607,5.14,0.48,0.0396,0.0328,0.07,1
1.0007,5.6,0.37,0.0396,0.0328,0.07,1
0.5707,3.7,0.3,0.0196,0.0228,0.05,1
0.8107,6.56,0.38,0.0396,0.0628,0.11,1
1.0907,5.74,0.28,0.0596,0.0828,0.14,1
1.0507,7.2,0.28,0.0496,0.0628,0.12,1
1.0107,6.7,0.2,0.0596,0.0828,0.1,1
0.6807,5.46,0.12,0.0396,0.0428,0.09,1
0.6607,3.87,0.27,0.0296,0.0228,0.05,1
1.3107,7.88,0.39,0.0596,0.0628,0.15,1
1.0307,6.63,0.23,0.0496,0.0628,0.13,1
1.2207,6.44,0.25,0.0396,0.0428,0.12,1
0.9107,6.34,0.28,0.0596,0.0528,0.1,1
0.9107,7.03,0.24,0.0496,0.0528,0.11,1
0.8907,6.9,0.19,0.0696,0.0528,0.06,1
1.0507,6.6,0.28,0.0496,0.0528,0.11,1
0.7207,5.19,0.16,0.0496,0.0428,0.06,1
0.9107,7.11,0.24,0.0396,0.0528,0.07,1
1.1507,4.67,0.33,0.0296,0.0328,0.07,1
0.9907,5.35,0.68,0.0696,0.0328,0.15,1
0.7707,7.7,0.29,0.0596,0.0728,0.13,1
0.6707,6.29,0.42,0.0396,0.0328,0.06,1
0.9107,6.67,0.34,0.0396,0.0628,0.13,1
1.3107,7.91,0.27,0.0496,0.0828,0.12,1
1.1307,6.6,0.27,0.0496,0.0428,0.09,2
1.3007,6.72,0.27,0.0396,0.0628,0.14,1
1.1507,7.37,0.57,0.0496,0.0428,0.09,2
1.0207,6.27,0.12,0.0796,0.0428,0.07,1
0.9307,6.72,0.18,0.0596,0.0628,0.14,1
0.9207,7.85,0.65,0.0696,0.0628,0.19,1
1.1307,7.99,0.43,0.0696,0.0728,0.19,1
0.9307,6.81,0.28,0.0396,0.0928,0.11,1
1.0907,6.71,0.34,0.0696,0.0528,0.12,1
1.0907,6.49,0.27,0.0296,0.0328,0.12,1
1.2207,6.48,0.22,0.0396,0.0428,0.09,1
1.0607,6.91,0.54,0.0496,0.0328,0.11,1
0.7607,4.74,0.04,0.0196,0.0228,0.04,1
0.7907,5.24,0.38,0.0296,0.0228,0.1,1
1.1907,6.12,0.37,0.0396,0.0328,0.08,1
1.0107,5.42,0.28,0.0296,0.0328,0.14,1
0.8807,6.52,0.29,0.0296,0.0328,0.09,1
0.8507,4.41,0.17,0.0296,0.0228,0.09,1
0.8807,3.76,0.1,0.0296,0.0228,0.07,1
1.0407,5.05,0.2,0.0296,0.0328,0.08,1
1.0207,6.85,0.24,0.0396,0.0428,0.13,1
1.0807,6.07,0.18,0.0396,0.0328,0.11,1
1.0507,6.94,0.27,0.0396,0.0728,0.12,3
0.9607,6.2,0.29,0.0396,0.0328,0.13,1
1.3607,6.67,0.44,0.0396,0.0428,0.19,1
0.7407,6.02,0.24,0.0396,0.0428,0.13,1
0.8407,6.56,0.15,0.0696,0.0628,0.15,3
0.7307,6.18,0.24,0.0396,0.0528,0.11,3
0.9907,6.53,0.23,0.0496,0.0328,0.13,1
1.0107,6.34,0.39,0.0596,0.0528,0.11,1
